Temporada,Jornada,Equipo_Local,Equipo_Visitante,Goles_Local,Goles_Visitante,Resultado,Ganador,Juega_En_Casa,Probabilidad_Victoria_Local,Habilidad_Local,Habilidad_Visitante,Racha_Local,Racha_Visitante
1,1,Tigres FC,Águilas United,4,2,Victoria Local,Tigres FC,True,0.576,85,82,0,0
1,1,Tigres FC,Zorros FC,1,3,Victoria Visitante,Zorros FC,True,0.501,85,65,1,0
1,1,Lobos Atlético,Zorros FC,2,0,Victoria Local,Lobos Atlético,True,0.704,72,65,0,1
1,1,Águilas United,Cóndores United,5,0,Victoria Local,Águilas United,True,0.706,82,60,0,0
1,2,Leones SC,Zorros FC,1,2,Victoria Visitante,Zorros FC,True,0.248,78,65,0,0
1,2,Cóndores United,Águilas United,1,3,Victoria Visitante,Águilas United,True,0.121,60,82,0,1
1,2,Pumas CF,Águilas United,1,2,Victoria Visitante,Águilas United,True,0.22,68,82,0,2
1,2,Halcones City,Zorros FC,4,0,Victoria Local,Halcones City,True,0.551,75,65,0,1
1,3,Zorros FC,Leones SC,1,4,Victoria Visitante,Leones SC,True,0.361,65,78,0,0
1,3,Águilas United,Zorros FC,5,4,Victoria Local,Águilas United,True,0.855,82,65,3,0
1,3,Cóndores United,Pumas CF,5,4,Victoria Local,Cóndores United,True,0.556,60,68,0,0
1,3,Tigres FC,Lobos Atlético,2,1,Victoria Local,Tigres FC,True,0.656,85,72,0,1
1,4,Lobos Atlético,Cóndores United,0,2,Victoria Visitante,Cóndores United,True,0.301,72,60,0,1
1,4,Lobos Atlético,Leones SC,2,2,Empate,Empate,True,0.401,72,78,0,1
1,4,Águilas United,Leones SC,4,2,Victoria Local,Águilas United,True,0.735,82,78,4,0
1,4,Leones SC,Lobos Atlético,2,0,Victoria Local,Leones SC,True,0.95,78,72,0,0
1,5,Tigres FC,Cóndores United,5,2,Victoria Local,Tigres FC,True,0.823,85,60,1,2
1,5,Tigres FC,Pumas CF,2,4,Victoria Visitante,Pumas CF,True,0.623,85,68,2,0
1,5,Pumas CF,Cóndores United,0,1,Victoria Visitante,Cóndores United,True,0.754,68,60,1,0
1,5,Halcones City,Cóndores United,4,2,Victoria Local,Halcones City,True,0.612,75,60,1,1
1,6,Zorros FC,Pumas CF,1,3,Victoria Visitante,Pumas CF,True,0.546,65,68,0,0
1,6,Zorros FC,Lobos Atlético,3,5,Victoria Visitante,Lobos Atlético,True,0.614,65,72,0,0
1,6,Cóndores United,Halcones City,2,3,Victoria Visitante,Halcones City,True,0.05,60,75,0,2
1,6,Leones SC,Águilas United,3,1,Victoria Local,Leones SC,True,0.694,78,82,1,5
1,7,Águilas United,Halcones City,2,2,Empate,Empate,True,0.753,82,75,0,3
1,7,Leones SC,Halcones City,3,4,Victoria Visitante,Halcones City,True,0.516,78,75,2,0
1,7,Halcones City,Lobos Atlético,1,2,Victoria Visitante,Lobos Atlético,True,0.704,75,72,1,1
1,7,Lobos Atlético,Halcones City,2,2,Empate,Empate,True,0.45,72,75,2,0
1,8,Cóndores United,Lobos Atlético,0,2,Victoria Visitante,Lobos Atlético,True,0.295,60,72,0,0
1,8,Zorros FC,Cóndores United,1,2,Victoria Visitante,Cóndores United,True,0.454,65,60,0,0
1,8,Halcones City,Pumas CF,4,5,Victoria Visitante,Pumas CF,True,0.569,75,68,0,1
1,8,Águilas United,Pumas CF,1,3,Victoria Visitante,Pumas CF,True,0.335,82,68,0,2
1,9,Lobos Atlético,Pumas CF,3,0,Victoria Local,Lobos Atlético,True,0.78,72,68,1,3
1,9,Cóndores United,Tigres FC,2,2,Empate,Empate,True,0.652,60,85,1,0
1,9,Pumas CF,Leones SC,0,2,Victoria Visitante,Leones SC,True,0.407,68,78,0,0
1,9,Lobos Atlético,Águilas United,1,0,Victoria Local,Lobos Atlético,True,0.805,72,82,2,0
1,10,Pumas CF,Zorros FC,2,2,Empate,Empate,True,0.413,68,65,0,0
1,10,Tigres FC,Leones SC,2,0,Victoria Local,Tigres FC,True,0.644,85,78,0,1
1,10,Halcones City,Tigres FC,3,2,Victoria Local,Halcones City,True,0.82,75,85,0,1
1,10,Tigres FC,Halcones City,2,2,Empate,Empate,True,0.441,85,75,0,1
1,11,Zorros FC,Águilas United,1,0,Victoria Local,Zorros FC,True,0.318,65,82,0,0
1,11,Pumas CF,Lobos Atlético,0,3,Victoria Visitante,Lobos Atlético,True,0.167,68,72,0,3
1,11,Pumas CF,Tigres FC,2,2,Empate,Empate,True,0.207,68,85,0,0
1,11,Halcones City,Leones SC,3,0,Victoria Local,Halcones City,True,0.52,75,78,0,0
1,12,Zorros FC,Halcones City,3,4,Victoria Visitante,Halcones City,True,0.458,65,75,1,1
1,12,Águilas United,Lobos Atlético,2,1,Victoria Local,Águilas United,True,0.516,82,72,0,4
1,12,Halcones City,Águilas United,3,2,Victoria Local,Halcones City,True,0.589,75,82,2,1
1,12,Leones SC,Pumas CF,6,4,Victoria Local,Leones SC,True,0.522,78,68,0,0
1,13,Cóndores United,Zorros FC,2,2,Empate,Empate,True,0.856,60,65,0,0
1,13,Leones SC,Cóndores United,2,2,Empate,Empate,True,0.318,78,60,1,0
1,13,Águilas United,Tigres FC,1,0,Victoria Local,Águilas United,True,0.481,82,85,0,0
1,13,Zorros FC,Tigres FC,6,4,Victoria Local,Zorros FC,True,0.95,65,85,0,0
1,14,Leones SC,Tigres FC,3,1,Victoria Local,Leones SC,True,0.764,78,85,0,0
1,14,Lobos Atlético,Tigres FC,2,0,Victoria Local,Lobos Atlético,True,0.25,72,85,0,0
1,14,Cóndores United,Leones SC,0,2,Victoria Visitante,Leones SC,True,0.539,60,78,0,1
1,14,Pumas CF,Halcones City,2,2,Empate,Empate,True,0.675,68,75,0,3
