Jugador,Goles_Temporada,Minutos_Jugados,Edad,Es_Titular
Defensa_Central_2023-24_39,1,2167,33,1
Lateral_Derecho_2022-23_88,1,2163,18,1
Lateral_Derecho_2022-23_57,0,2145,23,1
Lateral_Derecho_2021-22_49,3,2137,21,1
Extremo_Derecho_2021-22_97,0,2108,22,1
Lateral_Derecho_2022-23_74,1,2082,25,1
Defensa_Central_2022-23_9,0,2074,28,1
Lateral_Izquierdo_2022-23_69,0,2047,23,1
Portero_2022-23_98,1,1996,18,1
Delantero_Centro_2022-23_32,2,1995,24,1
Extremo_Izquierdo_2021-22_41,11,1948,23,1
Lateral_Derecho_2021-22_17,0,1927,21,1
Mediocampista_Centro_2021-22_8,0,1919,27,1
Mediocampista_Ofensivo_2022-23_51,4,1915,23,1
Mediocampista_Defensivo_2022-23_40,0,1910,27,1
Lateral_Derecho_2021-22_47,2,1890,30,1
Portero_2022-23_92,1,1852,27,1
Lateral_Izquierdo_2021-22_91,10,1774,32,1
Mediocampista_Ofensivo_2023-24_62,1,1739,20,1
Extremo_Izquierdo_2023-24_79,1,1714,25,1
Lateral_Derecho_2021-22_58,5,1686,35,1
Mediocampista_Defensivo_2021-22_19,2,1676,22,1
Portero_2023-24_54,3,1659,20,1
Mediocampista_Ofensivo_2021-22_67,1,1639,25,1
Extremo_Derecho_2022-23_36,0,1609,27,1
Delantero_Centro_2022-23_12,1,1608,23,1
Mediocampista_Centro_2022-23_77,1,1582,23,1
Lateral_Derecho_2021-22_95,2,1569,29,1
Defensa_Central_2022-23_75,2,1548,30,1
Extremo_Derecho_2023-24_27,5,1530,18,1
Mediocampista_Defensivo_2022-23_24,3,1500,18,1
Defensa_Central_2022-23_34,1,1441,22,1
Extremo_Izquierdo_2023-24_81,1,1418,31,1
Mediocampista_Ofensivo_2022-23_20,3,1395,18,1
Extremo_Derecho_2021-22_45,0,1366,18,1
Extremo_Izquierdo_2021-22_76,0,1330,26,1
Mediocampista_Ofensivo_2023-24_5,1,1273,27,1
Mediocampista_Ofensivo_2022-23_94,4,1236,27,1
Mediocampista_Defensivo_2022-23_50,1,1223,18,1
Mediocampista_Defensivo_2023-24_70,2,1196,30,1
Lateral_Izquierdo_2022-23_35,2,1189,25,1
Delantero_Centro_2023-24_78,7,1184,27,1
Mediocampista_Defensivo_2022-23_61,0,1180,26,1
Lateral_Derecho_2023-24_66,0,1170,27,0
Defensa_Central_2022-23_22,0,1155,22,0
Extremo_Izquierdo_2022-23_53,5,1140,18,1
Lateral_Derecho_2021-22_60,0,1117,24,0
Extremo_Derecho_2022-23_30,3,1114,24,1
Lateral_Izquierdo_2023-24_7,1,1110,30,1
Extremo_Derecho_2021-22_6,1,1070,25,1
Extremo_Izquierdo_2021-22_13,8,1045,27,1
Lateral_Izquierdo_2022-23_93,0,1023,28,0
Mediocampista_Ofensivo_2022-23_84,2,1015,23,1
Mediocampista_Ofensivo_2021-22_37,0,990,33,0
Extremo_Derecho_2023-24_46,0,987,26,0
Lateral_Izquierdo_2021-22_16,3,980,30,1
Mediocampista_Defensivo_2021-22_87,1,960,21,0
Extremo_Derecho_2021-22_2,2,950,28,1
Mediocampista_Ofensivo_2021-22_44,4,945,26,1
Lateral_Izquierdo_2021-22_21,0,933,25,0
Lateral_Derecho_2023-24_15,3,931,27,1
Extremo_Derecho_2023-24_48,3,888,29,1
Delantero_Centro_2023-24_4,1,883,27,0
Defensa_Central_2022-23_99,1,869,20,0
Extremo_Izquierdo_2022-23_23,2,861,31,0
Delantero_Centro_2023-24_14,1,857,30,0
Mediocampista_Ofensivo_2023-24_63,1,851,18,0
Extremo_Izquierdo_2021-22_42,6,850,22,1
Mediocampista_Ofensivo_2021-22_71,2,831,22,0
Mediocampista_Defensivo_2021-22_11,3,776,26,0
Extremo_Izquierdo_2023-24_52,3,749,35,0
Lateral_Derecho_2022-23_28,1,749,20,0
Mediocampista_Defensivo_2023-24_3,2,743,34,0
Extremo_Izquierdo_2023-24_64,10,731,26,1
Mediocampista_Ofensivo_2023-24_73,1,729,18,0
Extremo_Derecho_2023-24_89,2,715,22,0
Extremo_Izquierdo_2021-22_82,0,685,20,0
Extremo_Derecho_2021-22_38,8,679,18,1
Mediocampista_Ofensivo_2022-23_55,2,649,26,0
Lateral_Derecho_2023-24_18,1,645,20,0
Extremo_Derecho_2021-22_56,1,638,24,0
Extremo_Izquierdo_2023-24_83,2,616,18,0
Extremo_Izquierdo_2022-23_86,0,569,29,0
Lateral_Izquierdo_2021-22_72,0,568,18,0
Extremo_Derecho_2023-24_85,3,565,19,0
Lateral_Izquierdo_2023-24_25,0,546,32,0
Delantero_Centro_2022-23_65,0,545,34,0
Mediocampista_Ofensivo_2021-22_1,0,535,25,0
Portero_2022-23_29,1,527,34,0
Mediocampista_Centro_2022-23_10,0,526,34,0
Lateral_Izquierdo_2021-22_68,0,504,25,0
Mediocampista_Centro_2022-23_31,2,491,27,0
Mediocampista_Defensivo_2021-22_96,6,486,30,1
Portero_2021-22_80,4,485,29,0
Lateral_Derecho_2021-22_59,7,473,20,1
Portero_2021-22_43,1,469,30,0
Defensa_Central_2022-23_33,0,449,24,0
Mediocampista_Centro_2021-22_90,0,430,18,0
Mediocampista_Ofensivo_2021-22_100,7,427,24,1
Mediocampista_Ofensivo_2021-22_26,0,409,20,0
